contract addresses and deployment tx hashes:
mnist_v1_sop4_subsop4 deployed at addr=0x0717a26c4d8bfd88d84dc24c0a0bf214939a18c7dc99890db76aeff11cfff40f with tx_hash=0x28eca097e070c47b49f74c84715a8f86a0c01969991483d4e944522f1a69811
mnist_v1_sop4_subsop5 deployed at addr=0x002659cf2547b2b3aaa6b5a13763b3d133ad49895a39e694a2f9001dc5473ed0 with tx_hash=0x131fbbfd9e0c002922ac2f454b93df04eadf6ad76d33d7b9a7ef1a80e254789
mnist_v1_sop4_subsop6 deployed at addr=0x03c51c8bf34487158d4d3775356cbad957de00368b5700643f1b197ad9f8096f with tx_hash=0x7faec96ce7c67dbebddff61d569cbb3457602e0af862aaea789983a16e682b0
mnist_v1_sop4_subsop7 deployed at addr=0x05d2a398bd291b8dd705664fe2d383fd1b6a4872c279d51151837899c92011fa with tx_hash=0x3566ea0ad7bde0eff93c2d0adabe1b913d2a8c4bc4fbb6844de71077717ea9
mnist_v1_sop5 deployed at addr=0x05993c6ed395c6e5af7f1811610485484ad78d9d3c5e252e5ec77bcb3ec8a5a7 with tx_hash=0x30e32478c726f9d45faf1154fbd41533882a8f90734026e07ac881909aa1502
mnist_v1_sop5_subsop0 deployed at addr=0x047c5501958d228392b432b0ce1aecd77629702698d68a8a33936b1af2610b19 with tx_hash=0x6e8cc3f059ef6686bddd8f895c0482a677a3c59aaf048d22cf5e21f1057311a
mnist_v1_sop5_subsop1 deployed at addr=0x07ef46c1015ab80f82a413f2c124749444101b58129478cd7306bb56e687f141 with tx_hash=0x61c9d8610b6d64c5b4ccd4ab776c6280a7fe12f1e2d5e97d7e113a11accf2f2
mnist_v1_sop5_subsop2 deployed at addr=0x06ec03b1659e847206efecb970b1c94f0aa77621b9109c1209a3dee6c71f4bc8 with tx_hash=0x1842766e02ba03b44f075be86119fa2421ae844e099a4dc8a6e8123b824fa8a
mnist_v1_sop5_subsop3 deployed at addr=0x004e60c967224436dbcdd8f213eaec8fdfffa1c2441fb99b4d29d0b29ebd5b03 with tx_hash=0x4084eac07e30573c893eba8017ddc418fd02ee26431d7eb1e4dee6f08b64956
mnist_v1_sop5_subsop4 deployed at addr=0x068d35fc71aabd73130c310b5d847c8e699917539fff0449d65e434abb9a0a41 with tx_hash=0x4a71ad792b575e2e206739cc93a6bcb6684e1a0b9e2860840af25ea4f073708
mnist_v1_sop5_subsop5 deployed at addr=0x0094f751201c6dbdd37fd2a7ac14eaf03aee1a654208634097f1b418c7f17cf5 with tx_hash=0x75867e7ceba8ecc25ea4a78d596a5a90ce742d043f79f836c57d4dba5982f78
mnist_v1_sop5_subsop6 deployed at addr=0x000aa6b1d1aa3d7fe3d0356efbb840aa0f8cdd4ba83f0d164e0a3deaa12b4e02 with tx_hash=0x2a711b570b547cdea101d71e31959d3b93aeb5942bfc78fa9e776faab5bebec
mnist_v1_sop5_subsop7 deployed at addr=0x022c63d2f28f8ae327cd60f5714cb6228ef844c35011688f5574b052eab942bf with tx_hash=0x3c0be0e7947bc3d1655d2093751c2d000a0ce8a004f704c2a087c149351b3fe
